timestamp,target_name,host,port,sample_index,rtt_ms
2026-01-03T21:11:40,google_dns_tcp,8.8.8.8,443,1,7.708
2026-01-03T21:11:41,google_dns_tcp,8.8.8.8,443,2,6.440
2026-01-03T21:11:41,google_dns_tcp,8.8.8.8,443,3,5.880
2026-01-03T21:11:42,google_dns_tcp,8.8.8.8,443,4,5.895
2026-01-03T21:11:42,google_dns_tcp,8.8.8.8,443,5,6.034
2026-01-03T21:11:43,google_dns_tcp,8.8.8.8,443,6,5.996
2026-01-03T21:11:43,google_dns_tcp,8.8.8.8,443,7,6.259
2026-01-03T21:11:44,google_dns_tcp,8.8.8.8,443,8,7.211
2026-01-03T21:11:44,google_dns_tcp,8.8.8.8,443,9,6.346
2026-01-03T21:11:45,google_dns_tcp,8.8.8.8,443,10,6.349
2026-01-03T21:11:45,google_dns_tcp,8.8.8.8,443,11,6.261
2026-01-03T21:11:46,google_dns_tcp,8.8.8.8,443,12,6.039
2026-01-03T21:11:46,cloudflare_dns_tcp,1.1.1.1,443,1,5.697
2026-01-03T21:11:47,cloudflare_dns_tcp,1.1.1.1,443,2,6.004
2026-01-03T21:11:47,cloudflare_dns_tcp,1.1.1.1,443,3,5.755
2026-01-03T21:11:48,cloudflare_dns_tcp,1.1.1.1,443,4,5.643
2026-01-03T21:11:48,cloudflare_dns_tcp,1.1.1.1,443,5,6.459
2026-01-03T21:11:49,cloudflare_dns_tcp,1.1.1.1,443,6,6.059
2026-01-03T21:11:49,cloudflare_dns_tcp,1.1.1.1,443,7,5.933
2026-01-03T21:11:50,cloudflare_dns_tcp,1.1.1.1,443,8,6.120
2026-01-03T21:11:50,cloudflare_dns_tcp,1.1.1.1,443,9,5.697
2026-01-03T21:11:51,cloudflare_dns_tcp,1.1.1.1,443,10,5.957
2026-01-03T21:11:51,cloudflare_dns_tcp,1.1.1.1,443,11,6.176
2026-01-03T21:11:52,cloudflare_dns_tcp,1.1.1.1,443,12,5.602
2026-01-03T21:11:52,github_https,github.com,443,1,7.297
2026-01-03T21:11:53,github_https,github.com,443,2,7.451
2026-01-03T21:11:53,github_https,github.com,443,3,7.093
2026-01-03T21:11:54,github_https,github.com,443,4,7.054
2026-01-03T21:11:54,github_https,github.com,443,5,7.806
2026-01-03T21:11:55,github_https,github.com,443,6,7.136
2026-01-03T21:11:56,github_https,github.com,443,7,7.765
2026-01-03T21:11:56,github_https,github.com,443,8,7.131
2026-01-03T21:11:57,github_https,github.com,443,9,7.026
2026-01-03T21:11:57,github_https,github.com,443,10,7.646
2026-01-03T21:11:58,github_https,github.com,443,11,7.806
2026-01-03T21:11:58,github_https,github.com,443,12,7.190
